"","NGenes","Direction","PValue","FDR"
"MYLLYKANGAS_AMPLIFICATION_HOT_SPOT_5",7,"Down",0.359569989421937,0.898903387418561
"DAVICIONI_MOLECULAR_ARMS_VS_ERMS_DN",252,"Down",0.359664697888642,0.898903387418561
"SHIN_B_CELL_LYMPHOMA_CLUSTER_9",19,"Up",0.359685812260221,0.898903387418561
"KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM",26,"Up",0.359853366897982,0.898903387418561
"IRITANI_MAD1_TARGETS_UP",20,"Down",0.359963044793064,0.898903387418561
"MULLIGHAN_MLL_SIGNATURE_1_DN",329,"Down",0.36021531428617,0.898903387418561
"RASHI_RESPONSE_TO_IONIZING_RADIATION_4",97,"Up",0.360235143232326,0.898903387418561
"BURTON_ADIPOGENESIS_2",117,"Up",0.360251638715624,0.898903387418561
"PEREZ_TP53_TARGETS",1476,"Down",0.360324981566111,0.898903387418561
"REACTOME_SEROTONIN_RECEPTORS",4,"Up",0.360520237446731,0.898903387418561
"OSADA_ASCL1_TARGETS_UP",53,"Down",0.360873186532378,0.898903387418561
"SMID_BREAST_CANCER_RELAPSE_IN_LUNG_DN",48,"Down",0.360934551524863,0.898903387418561
"SAKAI_CHRONIC_HEPATITIS_VS_LIVER_CANCER_UP",101,"Up",0.361051243269452,0.898903387418561
"MCCABE_HOXC6_TARGETS_UP",11,"Down",0.361189261141481,0.898903387418561
"REACTOME_PROSTACYCLIN_SIGNALLING_THROUGH_PROSTACYCLIN_RECEPTOR",17,"Up",0.361271479656952,0.898903387418561
"INAMURA_LUNG_CANCER_SCC_SUBTYPES_UP",17,"Up",0.361285635804673,0.898903387418561
"LEE_AGING_CEREBELLUM_DN",111,"Up",0.361547650721276,0.899150458094407
"REACTOME_TRNA_PROCESSING_IN_THE_MITOCHONDRION",5,"Up",0.361899407775819,0.899620390179565
"FIRESTEIN_PROLIFERATION",217,"Down",0.362768371831069,0.900193228310855
"YAUCH_HEDGEHOG_SIGNALING_PARACRINE_UP",187,"Down",0.362774202798258,0.900193228310855
"ONGUSAHA_BRCA1_TARGETS_UP",16,"Up",0.362936458366225,0.900193228310855
"SIG_CHEMOTAXIS",54,"Up",0.363036764806612,0.900193228310855
"CALVET_IRINOTECAN_SENSITIVE_VS_RESISTANT_UP",5,"Up",0.363122348726303,0.900193228310855
"REACTOME_RHO_GTPASES_ACTIVATE_KTN1",14,"Up",0.363263772394736,0.900193228310855
"REACTOME_ACTIVATION_OF_PPARGC1A_PGC_1ALPHA_BY_PHOSPHORYLATION",12,"Down",0.363430255653453,0.900193228310855
"REACTOME_PYRIMIDINE_CATABOLISM",13,"Up",0.363661437517758,0.900193228310855
"MELLMAN_TUT1_TARGETS_UP",25,"Up",0.363665461031452,0.900193228310855
"REACTOME_SIGNALING_BY_NUCLEAR_RECEPTORS",318,"Up",0.363758863340235,0.900193228310855
"SCHAEFFER_PROSTATE_DEVELOPMENT_AND_CANCER_BOX1_UP",25,"Down",0.36435286259343,0.901238364883177
"PANGAS_TUMOR_SUPPRESSION_BY_SMAD1_AND_SMAD5_UP",202,"Down",0.364507373419092,0.901238364883177
"GOLDRATH_IMMUNE_MEMORY",78,"Down",0.364699228300127,0.901276388143019
"REACTOME_CLEC7A_DECTIN_1_INDUCES_NFAT_ACTIVATION",15,"Down",0.364968923125257,0.901276388143019
"REACTOME_AQUAPORIN_MEDIATED_TRANSPORT",44,"Down",0.365176362879974,0.901276388143019
"REACTOME_CLASS_B_2_SECRETIN_FAMILY_RECEPTORS",65,"Down",0.36522807229058,0.901276388143019
"MYLLYKANGAS_AMPLIFICATION_HOT_SPOT_21",7,"Up",0.36540502837175,0.901276388143019
"KEGG_SMALL_CELL_LUNG_CANCER",112,"Up",0.365501336559628,0.901276388143019
"BIOCARTA_STATHMIN_PATHWAY",25,"Up",0.36575514946565,0.901499980351107
"REACTOME_EPH_EPHRIN_MEDIATED_REPULSION_OF_CELLS",53,"Up",0.366110917800555,0.901974557184961
"WILCOX_RESPONSE_TO_PROGESTERONE_UP",192,"Up",0.366310625086584,0.902022703021642
"GAVIN_FOXP3_TARGETS_CLUSTER_P3",219,"Down",0.366603457328627,0.902022703021642
"KAAB_FAILED_HEART_ATRIUM_DN",212,"Up",0.366620157616107,0.902022703021642
"REACTOME_PLASMA_LIPOPROTEIN_ASSEMBLY_REMODELING_AND_CLEARANCE",73,"Up",0.367310550369253,0.903319137223184
"KEGG_PROXIMAL_TUBULE_BICARBONATE_RECLAMATION",26,"Up",0.367833527842296,0.904078900827249
"BLALOCK_ALZHEIMERS_DISEASE_DN",1616,"Up",0.368123180727802,0.904078900827249
"RAY_TUMORIGENESIS_BY_ERBB2_CDC25A_DN",372,"Down",0.368228840060889,0.904078900827249
"KRIEG_HYPOXIA_VIA_KDM3A",87,"Up",0.368273906218266,0.904078900827249
"YAMANAKA_GLIOBLASTOMA_SURVIVAL_UP",13,"Up",0.368577901022039,0.904423393005234
"REACTOME_RESPONSE_TO_METAL_IONS",4,"Up",0.368766705936678,0.904485049714195
"ZHU_SKIL_TARGETS_UP",33,"Down",0.369127328652125,0.904967887369852
"REACTOME_ATTENUATION_PHASE",45,"Up",0.369999271938156,0.906611901168855
"BREDEMEYER_RAG_SIGNALING_VIA_ATM_NOT_VIA_NFKB_UP",74,"Down",0.370276370366491,0.906611901168855
"LIANG_HEMATOPOIESIS_STEM_CELL_NUMBER_QTL",23,"Up",0.370290094270378,0.906611901168855
"VART_KSHV_INFECTION_ANGIOGENIC_MARKERS_DN",150,"Down",0.370641467981595,0.907070306495258
"GAZDA_DIAMOND_BLACKFAN_ANEMIA_PROGENITOR_UP",61,"Down",0.37086604569942,0.907218135694995
"SCHAEFFER_PROSTATE_DEVELOPMENT_12HR_UP",179,"Down",0.371285200704998,0.907841601369831
"REACTOME_INTERLEUKIN_2_SIGNALING",16,"Up",0.371523335994733,0.908022094076467
"REACTOME_CLASS_I_MHC_MEDIATED_ANTIGEN_PROCESSING_PRESENTATION",404,"Up",0.371739947424296,0.90814984503389
"REACTOME_INTERLEUKIN_20_FAMILY_SIGNALING",16,"Down",0.37249229550046,0.909048972220039
"KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM",73,"Down",0.372769632073377,0.909048972220039
"CHANGOLKAR_H2AFY_TARGETS_UP",66,"Down",0.372855215139323,0.909048972220039
"WILLIAMS_ESR2_TARGETS_DN",18,"Down",0.37294143619636,0.909048972220039
"BROWNE_HCMV_INFECTION_4HR_DN",440,"Down",0.373024511042031,0.909048972220039
"BURTON_ADIPOGENESIS_PEAK_AT_8HR",71,"Up",0.373095017914413,0.909048972220039
"PID_ERBB1_DOWNSTREAM_PATHWAY",148,"Up",0.373389352429874,0.909365165944241
"TONKS_TARGETS_OF_RUNX1_RUNX1T1_FUSION_ERYTHROCYTE_UP",260,"Up",0.374583369471688,0.911314769749905
"COLLIS_PRKDC_REGULATORS",15,"Up",0.374605370816614,0.911314769749905
"ZWANG_EGF_INTERVAL_DN",273,"Down",0.374684610364058,0.911314769749905
"RODWELL_AGING_KIDNEY_UP",632,"Up",0.374996081978615,0.911671073037318
"BENPORATH_ES_1",523,"Up",0.375432213509466,0.912082824527378
"WENG_POR_DOSAGE",32,"Down",0.375495552985846,0.912082824527378
"REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL",120,"Up",0.375979751289342,0.912857691399342
"HOLLERN_PAPILLARY_BREAST_TUMOR",21,"Down",0.376692402252743,0.914186304281362
"REACTOME_INTERLEUKIN_36_PATHWAY",3,"Up",0.377341096198693,0.915221829996933
"GROSS_HIF1A_TARGETS_UP",11,"Down",0.377450334882919,0.915221829996933
"REACTOME_ALPHA_PROTEIN_KINASE_1_SIGNALING_PATHWAY",12,"Up",0.377717074497787,0.915466909506478
"TORCHIA_TARGETS_OF_EWSR1_FLI1_FUSION_UP",363,"Down",0.378419219989356,0.916144144685207
"KEGG_MELANOGENESIS",97,"Down",0.378847315020309,0.916144144685207
"JAATINEN_HEMATOPOIETIC_STEM_CELL_DN",284,"Up",0.379048874160449,0.916144144685207
"REACTOME_SYNTHESIS_OF_PIPS_AT_THE_EARLY_ENDOSOME_MEMBRANE",19,"Down",0.37907305819179,0.916144144685207
"BIOCARTA_INSULIN_PATHWAY",37,"Down",0.379136431307813,0.916144144685207
"WOO_LIVER_CANCER_RECURRENCE_UP",189,"Up",0.379178260728549,0.916144144685207
"BIOCARTA_AGR_PATHWAY",46,"Down",0.379758196249589,0.916144144685207
"PID_IL27_PATHWAY",19,"Down",0.379920384441405,0.916144144685207
"REACTOME_RAF_ACTIVATION",41,"Up",0.380130109210853,0.916144144685207
"GARGALOVIC_RESPONSE_TO_OXIDIZED_PHOSPHOLIPIDS_BLUE_UP",179,"Down",0.380183963740753,0.916144144685207
"KEGG_SULFUR_METABOLISM",9,"Down",0.380213516691568,0.916144144685207
"BIOCARTA_EPONFKB_PATHWAY",14,"Down",0.380244999942338,0.916144144685207
"SMID_BREAST_CANCER_RELAPSE_IN_BRAIN_UP",39,"Up",0.380451131350527,0.916144144685207
"WANG_BARRETTS_ESOPHAGUS_UP",60,"Up",0.38084991007371,0.916144144685207
"MARTIN_NFKB_TARGETS_DN",14,"Down",0.380897186410816,0.916144144685207
"REACTOME_LIPOPHAGY",15,"Down",0.380923972526685,0.916144144685207
"SATO_SILENCED_EPIGENETICALLY_IN_PANCREATIC_CANCER",48,"Up",0.380950761479115,0.916144144685207
"KEGG_HEDGEHOG_SIGNALING_PATHWAY",45,"Down",0.380996743575053,0.916144144685207
"TURASHVILI_BREAST_LOBULAR_CARCINOMA_VS_LOBULAR_NORMAL_UP",120,"Down",0.381268968611603,0.916144144685207
"KEGG_BASAL_TRANSCRIPTION_FACTORS",32,"Up",0.38144164507576,0.916144144685207
"NOUZOVA_METHYLATED_IN_APL",80,"Down",0.381722041837039,0.916144144685207
"PID_LYSOPHOSPHOLIPID_PATHWAY",89,"Down",0.381938952191349,0.916144144685207
"REACTOME_MRNA_EDITING",5,"Up",0.381980345676596,0.916144144685207
"REACTOME_ER_QUALITY_CONTROL_COMPARTMENT_ERQC",23,"Up",0.38211165185285,0.916144144685207
"TOOKER_GEMCITABINE_RESISTANCE_DN",163,"Up",0.382141196796852,0.916144144685207
"REACTOME_FORMATION_OF_RNA_POL_II_ELONGATION_COMPLEX",60,"Up",0.382444024100568,0.916472539973868
"CAFFAREL_RESPONSE_TO_THC_8HR_5_DN",18,"Up",0.383119057109804,0.916527765382324
"REACTOME_TRIGLYCERIDE_CATABOLISM",20,"Up",0.383135299498409,0.916527765382324
"RICKMAN_HEAD_AND_NECK_CANCER_D",24,"Down",0.383405922779378,0.916527765382324
"REACTOME_VASOPRESSIN_LIKE_RECEPTORS",2,"Up",0.383646291493708,0.916527765382324
"REACTOME_GAP_JUNCTION_DEGRADATION",13,"Up",0.383769357036938,0.916527765382324
"ZWANG_EGF_INTERVAL_UP",94,"Down",0.383795489384772,0.916527765382324
"REACTOME_ADAPTIVE_IMMUNE_SYSTEM",790,"Up",0.38383404222069,0.916527765382324
"WOOD_EBV_EBNA1_TARGETS_DN",52,"Up",0.383943407211312,0.916527765382324
"BROWNE_HCMV_INFECTION_1HR_UP",76,"Down",0.38395978589578,0.916527765382324
"WESTON_VEGFA_TARGETS_12HR",50,"Up",0.38413087551825,0.91654024961738
"VANDESLUIS_COMMD1_TARGETS_GROUP_3_DN",41,"Up",0.384769015260943,0.917233764017175
"LEE_LIVER_CANCER_SURVIVAL_UP",192,"Down",0.384870729009543,0.917233764017175
"REACTOME_AMPK_INHIBITS_CHREBP_TRANSCRIPTIONAL_ACTIVATION_ACTIVITY",8,"Down",0.385291376205444,0.917233764017175
"GARGALOVIC_RESPONSE_TO_OXIDIZED_PHOSPHOLIPIDS_BLUE_DN",80,"Down",0.385507430079775,0.917233764017175
"XU_GH1_AUTOCRINE_TARGETS_UP",213,"Up",0.385534112248823,0.917233764017175
"FARDIN_HYPOXIA_9",8,"Down",0.385544005531044,0.917233764017175
"REACTOME_REGULATION_OF_TP53_ACTIVITY",172,"Up",0.385713827690829,0.917233764017175
"BUYTAERT_PHOTODYNAMIC_THERAPY_STRESS_UP",1151,"Down",0.38574941505174,0.917233764017175
"GAUSSMANN_MLL_AF4_FUSION_TARGETS_G_DN",48,"Down",0.386159111597121,0.917813011047609
"HU_GENOTOXIN_ACTION_DIRECT_VS_INDIRECT_24HR",54,"Up",0.386339323916534,0.917846562322771
"REACTOME_SHC1_EVENTS_IN_ERBB4_SIGNALING",17,"Up",0.386523109852953,0.917888571141993
"CREIGHTON_ENDOCRINE_THERAPY_RESISTANCE_1",669,"Up",0.38685358026084,0.918048411941569
"PID_S1P_S1P3_PATHWAY",37,"Up",0.386922683932666,0.918048411941569
"BORLAK_LIVER_CANCER_EGF_UP",80,"Up",0.387414135385443,0.918106017282878
"REACTOME_PHASE_2_PLATEAU_PHASE",20,"Down",0.387505521259864,0.918106017282878
"XU_AKT1_TARGETS_6HR",38,"Down",0.387510951204652,0.918106017282878
"REACTOME_ERK_MAPK_TARGETS",26,"Up",0.387611534260035,0.918106017282878
"SHIPP_DLBCL_VS_FOLLICULAR_LYMPHOMA_DN",54,"Down",0.387995656771544,0.918622107677614
"REACTOME_RETROGRADE_NEUROTROPHIN_SIGNALLING",19,"Up",0.388230273309678,0.918783935892626
"MULLIGHAN_MLL_SIGNATURE_1_UP",506,"Up",0.388636538666708,0.918861072043853
"LE_NEURONAL_DIFFERENTIATION_UP",27,"Down",0.389095744533006,0.918861072043853
"RAY_ALZHEIMERS_DISEASE",16,"Up",0.389140267043731,0.918861072043853
"ROSS_AML_WITH_MLL_FUSIONS",100,"Up",0.389629648280463,0.918861072043853
"KIM_ALL_DISORDERS_CALB1_CORR_UP",711,"Up",0.389655739599486,0.918861072043853
"REACTOME_BETA_OXIDATION_OF_VERY_LONG_CHAIN_FATTY_ACIDS",14,"Down",0.389734640264148,0.918861072043853
"KEGG_PURINE_METABOLISM",150,"Up",0.389835874883014,0.918861072043853
"REACTOME_METABOLISM_OF_WATER_SOLUBLE_VITAMINS_AND_COFACTORS",128,"Down",0.390082136328587,0.918861072043853
"BAELDE_DIABETIC_NEPHROPATHY_UP",125,"Down",0.391137463699475,0.918861072043853
"EHRLICH_ICF_SYNDROM_UP",22,"Down",0.391147564418056,0.918861072043853
"SU_LIVER",59,"Down",0.391244725242849,0.918861072043853
"MANN_RESPONSE_TO_AMIFOSTINE_UP",21,"Up",0.391268515399746,0.918861072043853
"ONDER_CDH1_TARGETS_2_DN",627,"Down",0.391277684850542,0.918861072043853
"REACTOME_SYNTHESIS_SECRETION_AND_INACTIVATION_OF_GLUCOSE_DEPENDENT_INSULINOTROPIC_POLYPEPTIDE_GIP",13,"Up",0.391390654214153,0.918861072043853
"KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION",116,"Up",0.391859584561542,0.918861072043853
"REACTOME_CONSTITUTIVE_SIGNALING_BY_OVEREXPRESSED_ERBB2",17,"Up",0.391907602294303,0.918861072043853
"DORSEY_GAB2_TARGETS",53,"Up",0.391948721189498,0.918861072043853
"MYLLYKANGAS_AMPLIFICATION_HOT_SPOT_22",19,"Down",0.391986701206334,0.918861072043853
"HOLLERN_EMT_BREAST_TUMOR_UP",208,"Up",0.392161196136828,0.918861072043853
"VALK_AML_CLUSTER_9",45,"Up",0.392239370031719,0.918861072043853
"GU_PDEF_TARGETS_DN",51,"Down",0.39237785374233,0.918861072043853
"DAVICIONI_PAX_FOXO1_SIGNATURE_IN_ARMS_UP",78,"Down",0.392658438758449,0.918861072043853
"KEGG_NOTCH_SIGNALING_PATHWAY",45,"Down",0.393004464731853,0.918861072043853
"REACTOME_LOSS_OF_MECP2_BINDING_ABILITY_TO_THE_NCOR_SMRT_COMPLEX",7,"Down",0.393008201944258,0.918861072043853
"MCBRYAN_PUBERTAL_BREAST_3_4WK_UP",311,"Down",0.393071281685384,0.918861072043853
"REACTOME_COPII_MEDIATED_VESICLE_TRANSPORT",88,"Up",0.393299985000949,0.918861072043853
"KAAB_HEART_ATRIUM_VS_VENTRICLE_DN",387,"Up",0.393334925620585,0.918861072043853
"REACTOME_PROPIONYL_COA_CATABOLISM",5,"Down",0.39334357126658,0.918861072043853
"STEIN_ESRRA_TARGETS_RESPONSIVE_TO_ESTROGEN_UP",35,"Up",0.393456774353756,0.918861072043853
"HUNSBERGER_EXERCISE_REGULATED_GENES",38,"Down",0.393626408373977,0.918861072043853
"REACTOME_SMALL_INTERFERING_RNA_SIRNA_BIOGENESIS",9,"Down",0.393647445997612,0.918861072043853
"BOQUEST_STEM_CELL_CULTURED_VS_FRESH_DN",41,"Down",0.393708429183103,0.918861072043853
"SARTIPY_NORMAL_AT_INSULIN_RESISTANCE_UP",45,"Up",0.39377200439703,0.918861072043853
"HUANG_GATA2_TARGETS_DN",89,"Up",0.393916373447681,0.918861072043853
"HASLINGER_B_CLL_WITH_MUTATED_VH_GENES",25,"Down",0.395057779319537,0.921134720894413
"REACTOME_PTK6_EXPRESSION",5,"Down",0.395352359478674,0.921220185170331
"REACTOME_CASPASE_ACTIVATION_VIA_EXTRINSIC_APOPTOTIC_SIGNALLING_PATHWAY",30,"Up",0.39542784640319,0.921220185170331
"PID_IL6_7_PATHWAY",66,"Down",0.395610297632964,0.921256849860835
"BROWN_MYELOID_CELL_DEVELOPMENT_UP",228,"Up",0.395853695978067,0.921365613756768
"WELCSH_BRCA1_TARGETS_UP",355,"Up",0.396148000626107,0.921365613756768
"OZANNE_AP1_TARGETS_UP",22,"Up",0.39655480620192,0.921365613756768
"BOYAULT_LIVER_CANCER_SUBCLASS_G56_DN",25,"Down",0.396663578990508,0.921365613756768
"BIOCARTA_ALTERNATIVE_PATHWAY",7,"Down",0.396872782494749,0.921365613756768
"MARIADASON_RESPONSE_TO_CURCUMIN_SULINDAC_7",18,"Up",0.396925690244383,0.921365613756768
"CALVET_IRINOTECAN_SENSITIVE_VS_REVERTED_UP",8,"Up",0.397032593797729,0.921365613756768
"WEST_ADRENOCORTICAL_CARCINOMA_VS_ADENOMA_DN",26,"Down",0.398195708918969,0.921365613756768
"RODRIGUES_DCC_TARGETS_DN",184,"Down",0.398327065590121,0.921365613756768
"BIOCARTA_INTRINSIC_PATHWAY",25,"Up",0.398458234033738,0.921365613756768
"EPPERT_CE_HSC_LSC",62,"Down",0.39845831287569,0.921365613756768
"SMID_BREAST_CANCER_LUMINAL_B_UP",231,"Down",0.398588310022473,0.921365613756768
"LIU_IL13_MEMORY_MODEL_UP",29,"Down",0.398728725888031,0.921365613756768
"BIOCARTA_DREAM_PATHWAY",16,"Down",0.398806433228418,0.921365613756768
"LE_SKI_TARGETS_UP",35,"Up",0.398862001309233,0.921365613756768
"REACTOME_SYNTHESIS_OF_PA",36,"Down",0.399068499703261,0.921365613756768
"BANDRES_RESPONSE_TO_CARMUSTIN_WITHOUT_MGMT_48HR_UP",19,"Up",0.399122891290872,0.921365613756768
"BOYLAN_MULTIPLE_MYELOMA_C_CLUSTER_DN",53,"Up",0.399469671798502,0.921365613756768
"NIKOLSKY_MUTATED_AND_AMPLIFIED_IN_BREAST_CANCER",147,"Down",0.399622027813765,0.921365613756768
"HELLER_HDAC_TARGETS_UP",485,"Up",0.399668549336446,0.921365613756768
"REACTOME_FOXO_MEDIATED_TRANSCRIPTION_OF_CELL_CYCLE_GENES",19,"Down",0.39980225927231,0.921365613756768
"REACTOME_CA2_PATHWAY",75,"Down",0.39982380827392,0.921365613756768
"BIOCARTA_RHODOPSIN_PATHWAY",7,"Up",0.400134014536865,0.921365613756768
"PID_RHOA_REG_PATHWAY",57,"Down",0.400181504462488,0.921365613756768
"IVANOVA_HEMATOPOIESIS_LATE_PROGENITOR",652,"Up",0.400189005565223,0.921365613756768
"LANDEMAINE_LUNG_METASTASIS",24,"Down",0.400235053740304,0.921365613756768
"SENGUPTA_NASOPHARYNGEAL_CARCINOMA_DN",389,"Down",0.400287280347323,0.921365613756768
"LEE_TARGETS_OF_PTCH1_AND_SUFU_DN",125,"Down",0.400325522734347,0.921365613756768
"REACTOME_RELAXIN_RECEPTORS",2,"Up",0.40074911790739,0.921839652911937
"REACTOME_BUDDING_AND_MATURATION_OF_HIV_VIRION",29,"Up",0.400900080067767,0.921839652911937
"KAMIKUBO_MYELOID_CEBPA_NETWORK",40,"Up",0.401109482483634,0.921839652911937
"REACTOME_DOWNSTREAM_SIGNALING_OF_ACTIVATED_FGFR2",30,"Down",0.401198763165619,0.921839652911937
"KHETCHOUMIAN_TRIM24_TARGETS_UP",80,"Up",0.401510918938267,0.92194830520491
"MARKEY_RB1_ACUTE_LOF_DN",376,"Up",0.401582258501526,0.92194830520491
"SABATES_COLORECTAL_ADENOMA_SIZE_DN",17,"Down",0.401746565134532,0.92194830520491
"HOFFMANN_SMALL_PRE_BII_TO_IMMATURE_B_LYMPHOCYTE_DN",59,"Down",0.402351802300824,0.922208012717479
"BIOCARTA_CDC42RAC_PATHWAY",15,"Up",0.402491452375809,0.922208012717479
"BIOCARTA_GPCR_PATHWAY",45,"Down",0.40298578994656,0.922208012717479
"BROWN_MYELOID_CELL_DEVELOPMENT_DN",150,"Up",0.403073579441459,0.922208012717479
"REACTOME_ORGANIC_ANION_TRANSPORTERS",6,"Up",0.403358168763802,0.922208012717479
"REACTOME_ACYL_CHAIN_REMODELLING_OF_PI",14,"Down",0.40342975128729,0.922208012717479
"REACTOME_G_PROTEIN_MEDIATED_EVENTS",63,"Down",0.403490856702132,0.922208012717479
"BERNARD_PPAPDC1B_TARGETS_DN",97,"Down",0.403635109977813,0.922208012717479
"CERIBELLI_PROMOTERS_INACTIVE_AND_BOUND_BY_NFY",25,"Up",0.403670970073257,0.922208012717479
"LI_INDUCED_T_TO_NATURAL_KILLER_UP",422,"Up",0.403836931375089,0.922208012717479
"REACTOME_CARGO_CONCENTRATION_IN_THE_ER",49,"Up",0.403990857566457,0.922208012717479
"REACTOME_ACTIVATED_NTRK3_SIGNALS_THROUGH_RAS",10,"Up",0.404574233446353,0.922208012717479
"CONRAD_GERMLINE_STEM_CELL",11,"Up",0.40458376325628,0.922208012717479
"REACTOME_NOSTRIN_MEDIATED_ENOS_TRAFFICKING",9,"Down",0.404706880281386,0.922208012717479
"BOYLAN_MULTIPLE_MYELOMA_D_DN",109,"Up",0.404755592174846,0.922208012717479
"REACTOME_VITAMIN_B5_PANTOTHENATE_METABOLISM",17,"Down",0.404815280344141,0.922208012717479
"RHEIN_ALL_GLUCOCORTICOID_THERAPY_UP",111,"Down",0.404862831884909,0.922208012717479
"KYNG_DNA_DAMAGE_BY_GAMMA_AND_UV_RADIATION",125,"Up",0.405002026708816,0.922208012717479
"REACTOME_SYNTHESIS_OF_UDP_N_ACETYL_GLUCOSAMINE",8,"Up",0.405057526705791,0.922208012717479
"SUNG_METASTASIS_STROMA_UP",177,"Up",0.405504063098083,0.922208012717479
"BERNARD_PPAPDC1B_TARGETS_UP",48,"Up",0.40568514522295,0.922208012717479
"PID_RET_PATHWAY",53,"Down",0.405846323626008,0.922208012717479
"REACTOME_INTERLEUKIN_6_SIGNALING",12,"Down",0.405861891052704,0.922208012717479
"REACTOME_METABOLISM_OF_CARBOHYDRATES",296,"Up",0.405864981347975,0.922208012717479
"REACTOME_SIGNALING_BY_HEDGEHOG",162,"Up",0.406354047339752,0.922674759617245
"WEBER_METHYLATED_IN_COLON_CANCER",22,"Up",0.406660570340433,0.922674759617245
"JOHNSTONE_PARVB_TARGETS_1_UP",12,"Up",0.406775119208887,0.922674759617245
"SMID_BREAST_CANCER_ERBB2_DN",10,"Down",0.406820856307311,0.922674759617245
"VALK_AML_CLUSTER_16",32,"Down",0.40690524596222,0.922674759617245
"IKEDA_MIR1_TARGETS_UP",72,"Up",0.407087904215618,0.922710319399304
"TSENG_ADIPOGENIC_POTENTIAL_UP",47,"Up",0.407384531879682,0.922948988466785
"REACTOME_TRANSPORT_OF_NUCLEOSIDES_AND_FREE_PURINE_AND_PYRIMIDINE_BASES_ACROSS_THE_PLASMA_MEMBRANE",10,"Up",0.407754878214044,0.922948988466785
"MARSON_FOXP3_TARGETS_STIMULATED_DN",14,"Up",0.408046909977753,0.922948988466785
"VANASSE_BCL2_TARGETS_UP",32,"Down",0.40807724195488,0.922948988466785
"REACTOME_KETONE_BODY_METABOLISM",9,"Up",0.408109673329162,0.922948988466785
"MIKKELSEN_MCV6_ICP_WITH_H3K27ME3",78,"Up",0.408232378475863,0.922948988466785
"KEGG_CHRONIC_MYELOID_LEUKEMIA",86,"Up",0.408362337459517,0.922948988466785
"BIOCARTA_PML_PATHWAY",20,"Down",0.409168456914558,0.923669189914047
"ZHOU_PANCREATIC_EXOCRINE_PROGENITOR",9,"Up",0.409230974441254,0.923669189914047
"SIMBULAN_UV_RESPONSE_IMMORTALIZED_DN",62,"Down",0.409522050867499,0.923669189914047
"REACTOME_CS_DS_DEGRADATION",13,"Down",0.409827093583582,0.923669189914047
"REACTOME_SURFACTANT_METABOLISM",29,"Up",0.409922781521788,0.923669189914047
"BIOCARTA_TALL1_PATHWAY",19,"Down",0.410016884240724,0.923669189914047
"REACTOME_LOSS_OF_FUNCTION_OF_MECP2_IN_RETT_SYNDROME",18,"Up",0.410462514450845,0.923669189914047
"BIOCARTA_AKAP13_PATHWAY",13,"Up",0.410602771513013,0.923669189914047
"QI_PLASMACYTOMA_UP",320,"Up",0.410698322378093,0.923669189914047
"BANDRES_RESPONSE_TO_CARMUSTIN_WITHOUT_MGMT_24HR_UP",17,"Up",0.410846511992689,0.923669189914047
"REACTOME_HDL_CLEARANCE",5,"Up",0.410900945797677,0.923669189914047
"REACTOME_FORMATION_OF_INCISION_COMPLEX_IN_GG_NER",48,"Up",0.411117399223314,0.923669189914047
"VANDESLUIS_COMMD1_TARGETS_GROUP_4_DN",33,"Up",0.411417634150853,0.923669189914047
"REACTOME_IRS_MEDIATED_SIGNALLING",48,"Down",0.411519929166367,0.923669189914047
"ONDER_CDH1_TARGETS_1_UP",202,"Down",0.411691642515688,0.923669189914047
"SCIAN_INVERSED_TARGETS_OF_TP53_AND_TP73_DN",44,"Up",0.411794732913941,0.923669189914047
"VETTER_TARGETS_OF_PRKCA_AND_ETS1_UP",21,"Up",0.411797139706739,0.923669189914047
"SEMBA_FHIT_TARGETS_UP",31,"Up",0.412192995392732,0.923669189914047
"REACTOME_BETA_CATENIN_INDEPENDENT_WNT_SIGNALING",161,"Up",0.41226366666799,0.923669189914047
"SCHAEFFER_SOX9_TARGETS_IN_PROSTATE_DEVELOPMENT_DN",69,"Up",0.412660508996012,0.923669189914047
"KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES",18,"Up",0.412686505440519,0.923669189914047
"ACEVEDO_NORMAL_TISSUE_ADJACENT_TO_LIVER_TUMOR_DN",458,"Up",0.412792314147453,0.923669189914047
"CREIGHTON_ENDOCRINE_THERAPY_RESISTANCE_5",639,"Down",0.41279538534259,0.923669189914047
"UEDA_CENTRAL_CLOCK",123,"Up",0.412972653906124,0.923669189914047
"TONKS_TARGETS_OF_RUNX1_RUNX1T1_FUSION_ERYTHROCYTE_DN",22,"Up",0.413085647415291,0.923669189914047
"MULLIGHAN_MLL_SIGNATURE_2_DN",408,"Down",0.413154795009674,0.923669189914047
"LEE_LIVER_CANCER_ACOX1_DN",75,"Down",0.41319403501041,0.923669189914047
"MIKKELSEN_MEF_HCP_WITH_H3K27ME3",527,"Down",0.413650266837023,0.924152632772839
"SATO_SILENCED_BY_DEACETYLATION_IN_PANCREATIC_CANCER",57,"Up",0.413744772616722,0.924152632772839
